,CS_time0_2012,CS_time0_2013,CS_time0_2014,CS_time10_2012,CS_time10_2013,CS_time10_2014,CS_time11_2012,CS_time11_2013,CS_time11_2014,CS_time12_2012,CS_time12_2013,CS_time12_2014,CS_time13_2013,CS_time1_2012,CS_time1_2013,CS_time1_2014,CS_time2_2012,CS_time2_2013,CS_time2_2014,CS_time3_2012,CS_time3_2013,CS_time3_2014,CS_time4_2012,CS_time4_2013,CS_time4_2014,CS_time5_2012,CS_time5_2013,CS_time5_2014,CS_time6_2012,CS_time6_2013,CS_time6_2014,CS_time7_2012,CS_time7_2013,CS_time7_2014,CS_time8_2012,CS_time8_2013,CS_time8_2014,CS_time9_2012,CS_time9_2013,CS_time9_2014,PN_time0_2012,PN_time0_2013,PN_time0_2014,PN_time10_2013,PN_time10_2014,PN_time11_2014,PN_time1_2012,PN_time1_2013,PN_time1_2014,PN_time2_2012,PN_time2_2013,PN_time2_2014,PN_time3_2012,PN_time3_2013,PN_time3_2014,PN_time4_2012,PN_time4_2013,PN_time4_2014,PN_time5_2012,PN_time5_2013,PN_time5_2014,PN_time6_2012,PN_time6_2013,PN_time6_2014,PN_time7_2012,PN_time7_2013,PN_time7_2014,PN_time8_2012,PN_time8_2013,PN_time8_2014,PN_time9_2012,PN_time9_2013,PN_time9_2014
e-Biomass_vvinif2023__cyto,0.072727998,0.072747838,0.072727998,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072747838,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.072727998,0.072747838,0.072727998,0.055248112,0.055248112,0.055248112,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.072727998,0.055248112,0.072727998,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112,0.055248112
e-Carbohydrates_vvinif2023__cyto,0.018181999,0.01818696,0.018181999,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.01818696,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.018181999,0.01818696,0.018181999,0.013812028,0.013812028,0.013812028,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.013812028,0.018181999,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028
e-Protein_vvinif2023__cyto,0.029163927,0.029171883,0.029163927,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029171883,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.029163927,0.029171883,0.029163927,0.022154493,0.022154493,0.022154493,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.029163927,0.022154493,0.029163927,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493,0.022154493
e-Cofactor_vvinif2023__cyto,0.000872736,0.000872974,0.000872736,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872974,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000872736,0.000872974,0.000872736,0.000662977,0.000662977,0.000662977,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000872736,0.000662977,0.000872736,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977,0.000662977
e-Cellwall_vvinif2023__cyto,0.018181999,0.01818696,0.018181999,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.01818696,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.018181999,0.01818696,0.018181999,0.013812028,0.013812028,0.013812028,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.018181999,0.013812028,0.018181999,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028,0.013812028
e-Lipids_vvinif2023__cyto,0.00581824,0.005819827,0.00581824,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.005819827,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.00581824,0.005819827,0.00581824,0.004419849,0.004419849,0.004419849,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.00581824,0.004419849,0.00581824,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849,0.004419849
e-DNA_vvinif2023__cyto,0.000218184,0.000218244,0.000218184,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218244,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000218184,0.000218244,0.000218184,0.000165744,0.000165744,0.000165744,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000218184,0.000165744,0.000218184,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744,0.000165744
e-RNA_vvinif2023__cyto,0.000290912,0.000290991,0.000290912,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290991,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000290912,0.000290991,0.000290912,0.000220992,0.000220992,0.000220992,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000290912,0.000220992,0.000290912,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992,0.000220992
e-FattyAcid_vvinif2023__cyto,0.13151704,0.13138277,0.13151704,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13138277,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.13151704,0.13138277,0.13151704,0.085622547,0.085622547,0.085622547,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.13151704,0.085622547,0.13151704,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547,0.085622547
Maintenance_vvinif2023__cyto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
